log10_HSat2_density_plus_epsilon	log10_HSat3_density_plus_epsilon	pooled_pass
-4.670491518972526	-9.0	1
-3.6576860540265894	-9.0	1
-6.003785627955527	-9.0	0
-5.358818949612051	-8.718219686601858	0
-5.845598448424378	-9.0	0
-5.635121250201545	-9.0	0
-8.879739807765889	-7.573712925693242	0
-6.895389415923696	-9.0	0
-5.562550350020412	-9.0	1
-5.1965047068936325	-9.0	0
-9.0	-5.776118525188311	0
-5.682155629159712	-9.0	0
-9.0	-5.809046889683006	0
-9.0	-6.926385564420748	0
-5.4065772495781275	-9.0	0
-4.882217891229809	-9.0	0
-6.933692982934671	-9.0	0
-5.686262800470045	-9.0	1
-6.2369179857147445	-9.0	0
-6.043878490663151	-9.0	0
-6.637527662553659	-9.0	0
-6.353714161288945	-8.95305205497169	0
-6.753053400946061	-9.0	0
-4.7877066190138855	-7.149558890563224	1
-7.2783082717764875	-5.953043188811646	0
-9.0	-5.95505025110137	0
-9.0	-5.515406024792891	0
-9.0	-6.786915650869289	0
-9.0	-6.521247101637507	0
-6.070155048447181	-9.0	0
-6.996732152689893	-6.02820477231308	0
-6.4180027706918	-9.0	0
-9.0	-5.498206997296685	0
-5.439515146632246	-5.562818629744051	0
-5.411326350591507	-6.134422684430113	0
-9.0	-5.042225762783581	0
-5.420362721256964	-8.3541034655893	0
-5.563326979437729	-7.614593223262745	0
-5.376643397599583	-8.220181139813372	0
-6.315026211181018	-6.907148821021754	0
-6.338950592368572	-7.546702526885167	0
-9.0	-6.3160639629087685	0
-6.306524073862107	-5.261125639403517	0
-6.513813656900366	-6.477135218264738	0
-5.742807696179235	-9.0	0
-9.0	-6.316988811881832	0
-6.181547989463237	-6.615172515392804	0
-9.0	-7.017810493011786	0
-7.074869215137673	-7.027209369990872	0
-6.364483907682061	-8.245605773209986	0
-6.64562133460802	-7.273389085340979	0
-5.3090443656295685	-8.06304486191152	0
-9.0	-6.78509821176279	0
-9.0	-6.097027079283401	0
-5.83672380853317	-9.0	0
-6.009129760287868	-9.0	0
-7.032549757541318	-8.46885579699192	0
-9.0	-5.681296558070344	0
-9.0	-6.291615559408334	0
-9.0	-6.5699827928894425	0
-9.0	-5.383656666380554	1
-4.239334616368334	-9.0	1
-9.0	-6.096221942246871	0
-9.0	-6.618661239570663	0
-9.0	-5.844574232646347	0
-9.0	-5.0152620762460085	1
-9.0	-5.946506848746065	0
-9.0	-5.327039829649661	1
-6.00225083660004	-9.0	0
-6.198866528295634	-9.0	0
-9.0	-5.790231902437538	0
-9.0	-6.750819071410932	0
-9.0	-6.271795001258587	0
-9.0	-5.872638177116989	0
-9.0	-5.871567144855665	0
-9.0	-4.836380660335188	1
-9.0	-6.190759928789906	0
-9.0	-6.058664238829362	0
-9.0	-5.904388562256598	0
-6.422989259914211	-8.95305205497169	0
-8.879739807765889	-5.879946967773328	0
-9.0	-5.5218210394773966	1
-9.0	-5.5384228109289575	0
-9.0	-5.934659470341499	0
-9.0	-6.598137285900048	0
-9.0	-6.226833262014438	0
-9.0	-5.6392698387140765	0
-9.0	-5.451909229555007	1
-8.642792052019217	-5.291293880149723	0
-7.288957562443743	-6.971318034570941	0
-9.0	-7.733612349630891	0
-9.0	-6.067261278498897	0
-5.827343571029688	-9.0	0
-6.464144667260591	-9.0	0
-6.416313096022585	-9.0	0
-9.0	-4.8343038574850015	1
-6.18408098117535	-9.0	0
-6.394123456837523	-9.0	0
-5.83856708514525	-9.0	0
-9.0	-6.2472844545038155	0
-9.0	-6.302521982507199	0
-9.0	-5.9575609522878725	0
-9.0	-6.045033392546463	0
-6.302056753123789	-9.0	0
-6.0263529392919795	-9.0	0
-6.021715553928922	-9.0	0
-6.197991287648051	-8.401408033117745	0
-5.627160441098099	-9.0	0
-9.0	-5.951976536205136	0
-9.0	-6.198442966821782	0
-9.0	-5.853115646605356	0
-6.533397130135636	-9.0	0
-9.0	-6.029370271772522	0
-6.385286363969957	-9.0	0
-5.5064674361562	-9.0	0
-4.185580208761419	-9.0	1
-6.360758230858658	-9.0	0
-5.836121673763844	-9.0	0
-4.733121189406551	-7.401203229319113	1
-5.766430166009379	-7.481945935552343	0
-6.274696381812435	-9.0	0
-4.555301578931029	-9.0	1
-9.0	-6.141506958421872	0
-5.704679511017751	-9.0	0
-6.160527107721925	-9.0	0
-6.297909967135754	-9.0	0
