prevalence_fraction	max_chromosome_count_fraction	dominant_chromosome_recurrence
1.0	0.9748243421673112	1.0
0.9703315881326352	0.8646288209606987	0.8934108527131783
0.9895287958115183	0.680029695619896	0.9957264957264957
0.9581151832460733	0.7418823141585628	0.4953271028037383
0.6178010471204188	0.9997258771929824	1.0
1.0	0.9312413764268094	1.0
0.9912739965095986	0.8792438904379203	1.0
0.34205933682373474	1.0	1.0
0.7539267015706806	0.9484375	0.9803370786516854
0.8778359511343804	0.6833073322932918	0.6265560165975104
1.0	0.4613680323544927	0.629277566539924
1.0	0.4414853524948495	0.5071942446043165
0.7993019197207679	0.9994666951095942	1.0
0.9703315881326352	1.0	1.0
