kmer_id	target_family	group	hap_count	median_target_hits	mean_target_hits	q25_target_hits	q75_target_hits	median_target_density_per_M	measurable_haps
k16_4d01a0d0	HSat2	G1	158	1433.5	1459.487341772152	354.25	2223.5	87.31949544238097	158
k16_4d01a0d0	HSat2	G2	42	1378.0	1250.6904761904761	88.5	1930.75	82.88508162555652	42
k16_4d01a0d0	HSat2	G3	289	2061.0	2048.910034602076	941.0	2644.0	112.97429604706556	289
k16_4d01a0d0	HSat2	NA	84	1204.5	1370.0714285714287	360.25	2221.25	85.9464273702979	84
k16_4d83a118	HSat2	G1	158	1982.5	1841.2784810126582	1361.0	2284.0	112.15717991476372	158
k16_4d83a118	HSat2	G2	42	1815.0	1616.8333333333333	932.75	2166.25	109.17055789494191	42
k16_4d83a118	HSat2	G3	289	2374.0	2300.6851211072662	1819.0	2783.0	124.81217484160257	289
k16_4d83a118	HSat2	NA	84	1925.5	1933.654761904762	1233.75	2500.5	154.82883787415966	84
k16_4f5be4f5	HSat3	G1	59	3093.0	2714.8474576271187	2454.5	3628.0	171.26348932918455	59
k16_4f5be4f5	HSat3	G2	54	2905.0	2726.314814814815	2220.5	3447.5	176.24969908878003	54
k16_4f5be4f5	HSat3	G3	70	3101.0	2788.0857142857144	2163.5	3689.25	177.8095815846662	70
k16_4f5be4f5	HSat3	G4	39	2778.0	2252.5641025641025	274.0	3471.5	166.56768354546628	39
k16_4f5be4f5	HSat3	G5	47	3211.0	2909.063829787234	2667.0	3639.0	169.45860883439903	47
k16_4f5be4f5	HSat3	G6	47	2697.0	2481.531914893617	2265.5	3060.5	169.07856141973548	47
k16_4f5be4f5	HSat3	G7	126	2831.5	2638.753968253968	2079.25	3586.25	172.34376610622377	126
k16_4f5be4f5	HSat3	NA	131	2853.0	2460.0763358778627	297.0	3555.5	178.75690892800827	131
k16_4f62d4e8	HSat2	G1	158	7164.0	6420.335443037975	188.5	10799.5	390.6449752884152	158
k16_4f62d4e8	HSat2	G2	42	5638.5	5707.785714285715	43.0	9790.75	360.98808312793915	42
k16_4f62d4e8	HSat2	G3	289	8027.0	7090.3806228373705	520.0	11502.0	414.4980903444331	289
k16_4f62d4e8	HSat2	NA	84	3916.0	5395.321428571428	215.5	9642.0	278.9271528253238	84
k16_4f6fd4d6	HSat2	G1	158	4379.0	3814.740506329114	153.25	6427.0	235.5141565677606	158
k16_4f6fd4d6	HSat2	G2	42	3600.0	3388.7380952380954	36.25	5683.75	229.0650192672291	42
k16_4f6fd4d6	HSat2	G3	289	5173.0	4339.747404844291	474.0	6824.0	261.6526724699354	289
k16_4f6fd4d6	HSat2	NA	84	2540.5	3254.7738095238096	165.5	6042.25	201.80099454929723	84
k16_51d8e3d4	HSat2	G1	158	5860.5	5429.765822784811	1675.0	8192.0	335.45261231323326	158
k16_51d8e3d4	HSat2	G2	42	4560.5	4830.833333333333	1455.0	7773.5	318.3633673370242	42
k16_51d8e3d4	HSat2	G3	289	6569.0	5955.570934256056	2047.0	8923.0	354.0397847865111	289
k16_51d8e3d4	HSat2	NA	84	4254.0	4723.011904761905	1547.5	7812.25	310.8041207015138	84
k16_51da7e3d	HSat3	G1	59	191.0	186.83050847457628	145.0	226.0	11.569400474743622	59
k16_51da7e3d	HSat3	G2	54	67.0	77.77777777777777	58.0	105.5	4.194648168733004	54
k16_51da7e3d	HSat3	G3	70	87.0	93.7	62.25	127.5	5.094014828634491	70
k16_51da7e3d	HSat3	G4	39	86.0	84.6923076923077	51.5	122.5	6.130897455646	39
k16_51da7e3d	HSat3	G5	47	179.0	165.14893617021278	120.5	206.0	9.828383517820695	47
k16_51da7e3d	HSat3	G6	47	94.0	86.46808510638297	50.0	123.5	5.888774596481683	47
k16_51da7e3d	HSat3	G7	126	72.0	84.57936507936508	56.25	120.75	4.546718892186082	126
k16_51da7e3d	HSat3	NA	131	72.0	81.70992366412214	47.0	114.0	4.493299367318487	131
k16_51dabc3c	HSat3	G1	59	86.0	74.40677966101696	42.5	98.0	4.773568028245266	59
k16_51dabc3c	HSat3	G2	54	3.0	3.8703703703703702	3.0	3.0	0.19546114897722158	54
k16_51dabc3c	HSat3	G3	70	0.0	0.04285714285714286	0.0	0.0	0.0	70
k16_51dabc3c	HSat3	G4	39	3.0	5.17948717948718	0.0	3.5	0.16245543373624266	39
k16_51dabc3c	HSat3	G5	47	49.0	59.40425531914894	24.0	92.5	3.8223953896593486	47
k16_51dabc3c	HSat3	G6	47	3.0	3.2127659574468086	3.0	3.0	0.19158550093701274	47
k16_51dabc3c	HSat3	G7	126	0.0	0.015873015873015872	0.0	0.0	0.0	126
k16_51dabc3c	HSat3	NA	131	0.0	11.664122137404581	0.0	3.0	0.0	131
k16_53d43eac	HSat3	G1	59	39.0	39.016949152542374	29.5	47.0	2.3665061288071536	59
